Topic,Qualification
Java Developer,"- Java Development
- TS/SCI and CI Polygraph eligibility
- 10+ years experience
- Minimum 8570 compliant IAT Level 2
- Database design and use of Database Design Document
- Script development (data manipulation, moving data between networks and folders, sanitizing correlation data, evaluating user dataset development)
- API/GUI and data source development
- IEEE/EIA Std. 12207.0 compliance (defining software development approach, identifying specific standards, methods, tools, actions, strategies, and responsibilities)
- CMMI Level 2 processes
- Documenting and certifying and accrediting TPED IT systems
- Adhering to IEEE/EIA Std. 12207.0 for system engineering processes
- Operating in customer environment
- Developing software for data storage, data discovery, exploitation and analysis (compatible with SCS, ATI, mission partner tools)
- Designing, developing, deploying, documenting TPED IT systems
- Creating a Software Development Plan (SDP)
- Defining and documenting software development approach and associated processes
- Adhering to proposed software development processes
- Preparing source code and associated concept papers
- Supporting DoD customer in Reston, VA.

This list contains only the essential skills and qualifications required for the role of a Java Developer in GDIT, removing all non-essential information and marketing language."
iOS Developer,"iOS Developer:
- BE/BTech, MCA, Msc CS/IT or equivalent
- 3-6 years experience
- iOS application development and publication to App Store
- RESTful API integration
- Git (Source Control)
- Apple design principles and interface guidelines
- SQL programming
- Apple Pay experience a plus
- Fast-paced work environment
- Familiarity with continuous integration
- Agile methodology
- Highly trafficked apps development experience
- Write high-quality code
- SQL unit testing
- Agile user story analysis, design, implementation
- Collaborate with development team and product owners
- Participate in Agile sprints
- Familiarity with unit testing tools
- Agile methodology and sprint reviews
- Proficient in creating device-specific UI/UX
- Optimization of performance
- Building prototypes
- Stay updated with mobile technology trends
- Verbal, written, and interpersonal communication skills (optional)
- Handle multiple tasks in a fast-paced environment (optional)
- Collaboration with team members (optional)
- Agile team member (optional)
- Member of Bengaluru location (optional)"
Node js developer,"* Node.js development experience
* JavaScript frameworks expertise
* AWS experience (cloud native applications)
* Cloud native application development
* Kubernetes/Docker experience
* API centric SaaS platforms experience (e.g., Twilio, Shopify, Stripe)
* Continuous integration and delivery
* Agile development methodologies (preferred)
* Microservices architecture experience (preferred)"
Network Administrator,"* B.E./B.Tech degree
* CCNA certification
* 2-4 years of experience
* Good understanding of networking portfolio

Exclusions:

* ""Network Engineer"" instead of ""Network Administrator""
* ""MNC Company, Mumbai Location""
* ""Dear Candidates""
* ""Requirements""
* ""Excellent English Communication""
* ""CBSE/ICSE passed candidates only"""
Flutter Developer,"1. Flutter development
2. Android platform development
3. Kotlin programming
4. Application performance improvement
5. Bug fixing
6. New technology implementation
7. Android development (1 year preferred)
8. Total work experience (3 years required)
9. Kotlin experience (1 year preferred)
10. Bachelor's degree (Preferred)"
iOS Developer,"* iOS platform development
* Swift language
* Xcode
* Objective-C (preferred)
* Cocoa
* XML-JSON parsing
* Location services
* Social networking integration (Facebook, Twitter)
* iOS 10, Xcode 8 (advantageous)
* Object-oriented concepts
* Bug fixing
* Performance improvement
* New technology implementation
* Communication (client & team)
* English (writing and speaking)
* Self-motivated
* Attention to detail
* Team-player

Note: The ""Responsibilities and Duties"" section was used to identify essential skills, but the job summary and qualifications sections were mostly removed to create a clean list of keywords."
Machine Learning,"1. Machine learning experience: 2-5 years
2. Research, develop, optimize ML applications
3. Identify data sources, extract insights (structured, unstructured)
4. NLP functionality: tokenization, part-of-speech tagging, dependency parsing
5. Implement relation extraction, sentiment analysis, named entity recognition
6. Design experiments, build scalable ML models
7. Agile methodologies, fast releases
8. Estimate production costs
9. Automate service operations
10. Mentor junior team members."
Flutter Developer,"1. Android application development
2. Java programming
3. High performance coding
4. Reusable and reliable code
5. Back-end service integration
6. Collaborative problem solving
7. Design implementation from wireframes
8. Code maintenance
9. Performance optimization
10. Bug fixing
11. Flutter development (required, 2 years experience)
12. 2-year work experience (preferred)
13. Diploma (preferred)"
Full Stack Developer,"1. Full Stack Developer
2. 5+ years experience Lamp stack development
3. Strong experience in Php, Mysql, Html, Cs, Javascript, JQuery
4. High proficiency in Php related framework (Laravel)
5. Creating and maintaining UI using Javascript, JQuery, HTML/CSS, Modern front-end frameworks (Angular2, Elasticsearch)
6. Expertise in large databases, caching, search using tools (Sql, MySql, Redis, Solr)
7. Experience with distributed layered applications, automated testing, deployment cycles
8. Understanding of development in Linux environment using source control tools (Git, Atlassian Suite)
9. Expertise in e-commerce technology, ensuring application availability, performance
10. Strong API integration skills, consuming apis from third-party vendors
11. Familiarity with Solr integration, search brows development
12. Agile/Scrum environment, fast-paced, two-week sprints
13. Knowledge of e-commerce PCI experience and scrum methodology
14. Exposure to automated testing deployment cycles, understanding of development environments."
Database Administrator,"1. 3+ years experience with NoSQL databases (MongoDB, Cassandra, Elastic)
2. 3+ years experience with relational databases (MySQL, Oracle)
3. 2+ years managing highly available, scalable production systems
4. Fast-paced production environment experience
5. Cloud services (Google Cloud, AWS, Azure)
6. Scripting and automation (Bash, Python)
7. Database monitoring and alerting
8. Strong Linux/Unix skills
9. Good knowledge of data integrity, OLTP data warehouse, and database system performance tuning
10. Strong communication and collaboration skills
11. Experience with automation tools (Chef, Puppet)
12. Experience with programming language (Python)
13. ETL processing and monitoring
14. Security management
15. Database system schema design
16. 3+ year experience defining, implementing product functionality, and capacity planning
17. Perform general technical trouble shooting and give consultation to development team."
Software Engineer,"1. MS/BS in Computer Science/Computer Engineering or related field
2. 3+ years experience
3. File systems, storage, cloud technologies, engineering best practices
4. Strong communication
5. Algorithms, design patterns
6. C++, C#, Java, Javascript, AngularJS
7. Scripting languages: Perl, Python, Ruby on Rails
8. API fundamentals and best practices
9. Microsoft Office Suite: Access, Excel, Word, PowerPoint, Visio
10. Databases, SQL
11. LINUX/UNIX
12. Agile Process
13. Problem solving, organizational skills
14. Python, scripting languages
15. C++/Java programming skillset
16. Agile development methodologies: unit testing, TDD
17. Experience in customer escalations (desired)
18. Knowledge of databases and SQL
19. Strong problem-solving skills
20. Strong organizational skills.

This list is based on the essential skills and knowledge required for the Software Engineer role, focusing on specific technical skills and qualifications rather than marketing language or generic soft skills."
Java Developer,"- Java Developer
- BS or MS degree
- 4-8 years experience or 2-6 years with MS, plus 2+ years Angular experience
- Full software lifecycle development with Java/JEE, JavaScript, REST/JAX/Soap Web Services, Weblogic, Spring Framework, Oracle 12c, PL/SQL, Maven, HTML5, Log4j, Junit, Unix/Linux
- Angular experience, Angular 6+ desirable
- Microservices, rule engine processing experience
- Detailed design, performance optimization, coding standards, continuous integration
- Subversion/Git, JIRA, Microfocus ALM experience
- FDA Imports domain knowledge, Agile development methodology familiarity
- Excellent communication skills, customer interaction experience
- Prioritization, multitasking, ability to status projects
- Public Trust clearance required.

Skills:
- Java
- JEE
- JavaScript
- REST/JAX
- Soap Web Services
- Weblogic
- Spring Framework
- Oracle 12c
- PL/SQL
- Maven
- HTML5
- Log4j
- Junit
- Unix/Linux
- Angular
- Angular 6+
- Microservices
- Rule engine processing
- Detailed design
- Performance optimization
- Coding standards
- Continuous integration
- Subversion/Git
- JIRA
- Microfocus ALM
- FDA Imports domain knowledge
- Agile development methodology
- Excellent communication
- Prioritization
- Multitasking
- Public Trust clearance."
Django Developer,"- Django: deep knowledge, web framework
- Python: proficient, 1 year experience
- ORM: strong knowledge
- Jinja2, Mako: understanding of server-side templating languages
- DRF, Tastypie: understanding, API creation and scaling
- NoSQL: experience with MongoDB
- Design: low-latency, high-availability, performant applications and APIs
- Database: creating schemas, supporting business processes
- Front-end: strong understanding, JavaScript, HTML5, CSS3
- Authentication/Authorization: understanding between multiple systems, servers, environments
- Testing: strong unit test, debugging skills
- Version control: proficient in Git
- Automation: understanding of Ansible, Jenkins
- Performance: ability to optimize page load speeds and performances
- Algorithms, Data Structures, Software Architecture: strong understanding of key disciplines
- Experience: 2 years, Python 1 year preferred
- Education: Bachelor's, preferred

Essential skills for a Django Developer: Python (deep knowledge, Django expertise), ORM, Jinja2/Mako, DRF/Tastypie, NoSQL (MongoDB), databases, front-end technologies, unit testing, Git, automation tools, performance optimization, algorithms, data structures, software architecture."
